Units Processed,Time (s)
412,1.0500021744519472e-05
413,1.0199990356341004e-05
414,9.799987310543656e-06
415,9.799987310543656e-06
416,1.0099989594891667e-05
417,9.400013368576765e-06
418,1.0000017937272787e-05
419,1.5400000847876072e-05
420,1.0500021744519472e-05
421,9.700015652924776e-06
422,9.90001717582345e-06
423,1.0500021744519472e-05
424,9.400013368576765e-06
425,9.599985787644982e-06
426,9.299983503296971e-06
427,1.0199990356341004e-05
428,1.0099989594891667e-05
429,1.0000017937272787e-05
430,1.0499992640689015e-05
431,1.5700003132224083e-05
432,1.3900018529966474e-05
433,1.0499992640689015e-05
434,9.99998883344233e-06
435,1.0200019460171461e-05
436,1.0299991117790341e-05
437,9.599985787644982e-06
438,9.99998883344233e-06
439,9.299983503296971e-06
440,6.999762263149023e-07
441,1.0099989594891667e-05
442,1.0199990356341004e-05
443,9.800016414374113e-06
444,9.500014130026102e-06
445,1.0200019460171461e-05
446,9.899988071992993e-06
447,9.69998654909432e-06
448,1.0199990356341004e-05
449,1.0399991879239678e-05
450,1.0100018698722124e-05
451,1.0300020221620798e-05
452,1.0300020221620798e-05
453,1.5399971744045615e-05
454,9.99998883344233e-06
455,9.899988071992993e-06
456,1.0200019460171461e-05
457,9.600014891475439e-06
458,9.499985026195645e-06
459,8.799979696050286e-06
460,1.0299991117790341e-05
461,1.0399991879239678e-05
462,3.100023604929447e-06
463,3.100023604929447e-06
464,9.100011084228754e-06
465,9.200011845678091e-06
466,9.899988071992993e-06
467,2.5199988158419728e-05
468,1.5099998563528061e-05
469,1.550000160932541e-05
470,9.899988071992993e-06
471,1.4999997802078724e-05
472,1.0000017937272787e-05
473,1.7799990018829703e-05
474,1.0299991117790341e-05
475,1.1199997970834374e-05
476,1.100008375942707e-06
477,4.8999791033566e-06
478,8.00006091594696e-07
479,8.00006091594696e-07
480,7.00005330145359e-07
481,8.00006091594696e-07
482,8.700008038431406e-06
483,7.999769877642393e-07
484,8.00006091594696e-07
485,1.5199999324977398e-05
486,8.00006091594696e-07
487,1.5400000847876072e-05
488,9.00006853044033e-07
489,1.5099998563528061e-05
490,6.999762263149023e-07
491,1.5400000847876072e-05
492,8.999777492135763e-07
493,1.5199999324977398e-05
494,7.00005330145359e-07
495,1.7799990018829703e-05
496,1.00000761449337e-06
497,1.5199999324977398e-05
498,7.00005330145359e-07
499,1.619997783564031e-05
500,9.00006853044033e-07
501,1.5199999324977398e-05
502,6.00004568696022e-07
503,1.0499992640689015e-05
504,5.999754648655653e-07
505,1.0600022505968809e-05
506,6.00004568696022e-07
507,1.0200019460171461e-05
508,5.00003807246685e-07
509,1.0299991117790341e-05
510,5.00003807246685e-07
511,2.1499989088624716e-05
512,4.5000051613897085e-06
513,1.1399999493733048e-05
514,1.9000144675374031e-06
515,1.069999416358769e-05
516,9.00006853044033e-07
517,1.0599993402138352e-05
518,6.00004568696022e-07
519,1.0399991879239678e-05
520,5.00003807246685e-07
521,1.0199990356341004e-05
522,4.999747034162283e-07
523,1.069999416358769e-05
524,5.999754648655653e-07
525,1.0599993402138352e-05
526,5.00003807246685e-07
527,1.0399991879239678e-05
528,6.00004568696022e-07
529,1.0399991879239678e-05
530,6.00004568696022e-07
531,1.0399991879239678e-05
532,5.00003807246685e-07
533,1.0499992640689015e-05
534,5.00003807246685e-07
535,1.0199990356341004e-05
536,6.00004568696022e-07
537,1.069999416358769e-05
538,5.00003807246685e-07
539,1.0599993402138352e-05
540,5.00003807246685e-07
541,1.0399991879239678e-05
542,5.00003807246685e-07
543,1.0199990356341004e-05
544,5.00003807246685e-07
545,1.0299991117790341e-05
546,5.00003807246685e-07
547,1.0599993402138352e-05
548,4.999747034162283e-07
549,1.0199990356341004e-05
550,5.00003807246685e-07
551,1.0399991879239678e-05
552,1.700012944638729e-06
553,1.1099997209385037e-05
554,8.999777492135763e-07
555,1.0899995686486363e-05
556,1.600012183189392e-06
557,1.750001683831215e-05
558,1.00000761449337e-06
559,1.09999964479357e-05
560,7.00005330145359e-07
561,1.0799994925037026e-05
562,6.00004568696022e-07
563,1.0499992640689015e-05
564,5.00003807246685e-07
565,1.069999416358769e-05
566,5.00003807246685e-07
567,1.0099989594891667e-05
568,5.00003807246685e-07
569,1.0500021744519472e-05
570,6.00004568696022e-07
571,1.0300020221620798e-05
572,5.00003807246685e-07
573,1.0299991117790341e-05
574,7.00005330145359e-07
575,1.0299991117790341e-05
576,6.00004568696022e-07
577,1.0199990356341004e-05
578,5.00003807246685e-07
579,1.0199990356341004e-05
580,5.00003807246685e-07
581,1.0199990356341004e-05
582,5.00003807246685e-07
583,1.0399991879239678e-05
584,5.00003807246685e-07
585,1.0200019460171461e-05
586,5.00003807246685e-07
587,1.0299991117790341e-05
588,3.4999975468963385e-06
589,1.1199997970834374e-05
590,5.00003807246685e-07
591,1.0600022505968809e-05
592,6.00004568696022e-07
593,1.0499992640689015e-05
594,6.00004568696022e-07
595,1.0300020221620798e-05
596,5.00003807246685e-07
597,1.0399991879239678e-05
598,5.999754648655653e-07
599,2.0100007532164454e-05
600,1.9000144675374031e-06
601,1.0799994925037026e-05
602,5.999754648655653e-07
603,1.0399991879239678e-05
604,5.999754648655653e-07
605,1.069999416358769e-05
606,6.00004568696022e-07
607,1.0299991117790341e-05
608,6.00004568696022e-07
609,1.0399991879239678e-05
610,7.00005330145359e-07
611,1.0299991117790341e-05
612,1.3999815564602613e-06
613,1.0700023267418146e-05
614,6.00004568696022e-07
615,1.0400020983070135e-05
616,6.00004568696022e-07
617,1.0399991879239678e-05
618,4.999747034162283e-07
619,1.0399991879239678e-05
620,5.999754648655653e-07
621,1.0399991879239678e-05
622,5.999754648655653e-07
623,1.069999416358769e-05
624,6.999762263149023e-07
625,1.0299991117790341e-05
626,7.00005330145359e-07
627,1.0299991117790341e-05
628,6.00004568696022e-07
629,1.0499992640689015e-05
630,6.00004568696022e-07
631,1.0399991879239678e-05
632,5.00003807246685e-07
633,1.0399991879239678e-05
634,1.300009898841381e-06
635,1.1099997209385037e-05
636,6.00004568696022e-07
637,1.0899995686486363e-05
638,2.1999876480549574e-06
639,1.069999416358769e-05
640,1.400010660290718e-06
641,1.2200005585327744e-05
642,1.100008375942707e-06
643,1.650000922381878e-05
644,7.00005330145359e-07
645,1.0299991117790341e-05
646,3.9000005926936865e-06
647,1.170000177808106e-05
648,8.999777492135763e-07
649,1.7999991541728377e-05
650,2.9999937396496534e-06
651,1.7299986211583018e-05
652,1.300009898841381e-06
653,1.3300013961270452e-05
654,6.00004568696022e-07
655,1.0599993402138352e-05
656,5.00003807246685e-07
657,1.069999416358769e-05
658,6.00004568696022e-07
659,1.0499992640689015e-05
660,5.999754648655653e-07
661,1.0400020983070135e-05
662,6.00004568696022e-07
663,1.0299991117790341e-05
664,5.00003807246685e-07
665,1.0299991117790341e-05
666,6.00004568696022e-07
667,1.0299991117790341e-05
668,5.999754648655653e-07
669,1.2900010915473104e-05
670,1.0999792721122503e-06
671,1.1399999493733048e-05
672,7.00005330145359e-07
673,1.0400020983070135e-05
674,6.00004568696022e-07
675,1.0399991879239678e-05
676,5.00003807246685e-07
677,1.069999416358769e-05
678,6.00004568696022e-07
679,1.0299991117790341e-05
680,5.00003807246685e-07
681,1.0300020221620798e-05
682,6.00004568696022e-07
683,1.0500021744519472e-05
684,5.00003807246685e-07
685,1.0099989594891667e-05
686,5.00003807246685e-07
687,1.6099977074190974e-05
688,1.2999807950109243e-06
689,8.999777492135763e-07
690,9.00006853044033e-07
691,9.00006853044033e-07
692,9.100011084228754e-06
693,9.00006853044033e-07
694,1.00000761449337e-06
695,1.800013706088066e-06
696,9.00006853044033e-07
697,6.299989763647318e-06
698,2.100015990436077e-06
699,1.0999792721122503e-06
700,1.0400020983070135e-05
701,7.599999662488699e-06
702,7.00005330145359e-07
703,1.069999416358769e-05
704,1.0499992640689015e-05
705,9.799987310543656e-06
706,7.299997378140688e-06
707,6.00004568696022e-07
708,1.0899995686486363e-05
709,5.599984433501959e-06
710,7.00005330145359e-07
711,5.600013537332416e-06
712,5.00003807246685e-07
713,1.0200019460171461e-05
714,3.6999990697950125e-06
715,6.00004568696022e-07
716,4.1000021155923605e-06
717,4.999747034162283e-07
718,1.0499992640689015e-05
719,5.999754648655653e-07
720,9.299983503296971e-06
721,5.00003807246685e-07
722,2.600019797682762e-06
723,8.00006091594696e-07
724,5.499983672052622e-06
725,1.500011421740055e-06
726,6.199989002197981e-06
727,5.999754648655653e-07
728,4.3000036384910345e-06
729,6.00004568696022e-07
730,1.0599993402138352e-05
731,1.0399991879239678e-05
732,9.99998883344233e-06
733,1.0599993402138352e-05
734,1.2100004823878407e-05
735,9.200011845678091e-06
736,9.00006853044033e-07
737,4.8000074457377195e-06
738,6.999762263149023e-07
739,2.8999929782003164e-06
740,9.00006853044033e-07
741,6.199989002197981e-06
742,8.00006091594696e-07
743,1.5700003132224083e-05
744,1.200000406242907e-05
745,7.999769877642393e-07
746,7.800001185387373e-06
747,8.00006091594696e-07
748,1.5699974028393626e-05
749,1.3299984857439995e-05
750,8.00006091594696e-07
751,8.800008799880743e-06
752,7.00005330145359e-07
753,1.5199999324977398e-05
754,1.5600002370774746e-05
755,4.499976057559252e-06
756,6.999762263149023e-07
757,1.5099998563528061e-05
758,1.5300000086426735e-05
